soc_id	var_id	code	category	title	definition	pref_name_for_society	glottocode	Lat	Long	description	name	region	eco_id	eco_code
SCCS112	SCCS1263	4	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Ifugao	tuwa1243	16.83	121.17	High	high	Malesia	PrecipitationPredictability	0.637429684
SCCS113	SCCS1263	NA	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Atayal	atay1247	24.33	120.75	Missing data	NA	Eastern Asia	PrecipitationPredictability	0.554396611
SCCS114	SCCS1263	3	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Chekiang	wuch1236	31	120.08	Moderate	moderate	China	PrecipitationPredictability	0.590632379
SCCS115	SCCS1263	4	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Manchu	manc1252	50	125.5	High	high	China	PrecipitationPredictability	0.617193659
SCCS116	SCCS1263	5	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Koreans	kore1280	37.6	126.42	Very High	Very High	Eastern Asia	PrecipitationPredictability	0.571090278
SCCS117	SCCS1263	4	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Japanese	nucl1643	34.67	133.67	High	high	Eastern Asia	PrecipitationPredictability	0.656782616
SCCS118	SCCS1263	1	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Ainu	ainu1240	42.83	143	Very Low	Very Low	Eastern Asia	PrecipitationPredictability	0.702515747
SCCS119	SCCS1263	5	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Nivkh	gily1242	53	142	Very High	Very High	Russian Far East	PrecipitationPredictability	0.636441967
SCCS12	SCCS1263	2	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Ganda	gand1255	0.33	32.5	Low	low	East Tropical Africa	PrecipitationPredictability	0.604572546
SCCS120	SCCS1263	3	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Yukaghir	nort2745	64.75	153.5	Moderate	moderate	Russian Far East	PrecipitationPredictability	0.652616472
SCCS121	SCCS1263	3	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Chukchi	chuk1273	66.5	179.6	Moderate	moderate	Russian Far East	PrecipitationPredictability	0.623083252
SCCS122	SCCS1263	3	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Deg Xit'an	dege1248	62.5	-159.5	Moderate	moderate	Subarctic America	PrecipitationPredictability	0.664050635
SCCS123	SCCS1263	5	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Aleut	east2533	55	-162.85	Very High	Very High	Subarctic America	PrecipitationPredictability	0.750429141
SCCS124	SCCS1263	2	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Copper Inuit	copp1244	68.72	-112.53	Low	low	Subarctic America	PrecipitationPredictability	0.676987644
SCCS125	SCCS1263	4	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Montagnais	mont1268	50	-74	High	high	Eastern Canada	PrecipitationPredictability	0.735906007
SCCS126	SCCS1263	4	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Mi'kmaq	mikm1235	46.99	-65	High	high	Eastern Canada	PrecipitationPredictability	0.708767505
SCCS127	SCCS1263	5	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Northern Saulteaux	alba1270	52	-95.5	Very High	Very High	Western Canada	PrecipitationPredictability	0.682821213
SCCS128	SCCS1263	3	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	DeneTha	sout2959	62	-122	Moderate	moderate	Subarctic America	PrecipitationPredictability	0.678987419
SCCS129	SCCS1263	5	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Kaska	kask1239	60	-131	Very High	Very High	Subarctic America	PrecipitationPredictability	0.711216025
SCCS13	SCCS1263	1	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Mbuti	bila1255	1.5	28.33	Very Low	Very Low	West-Central Tropical Africa	PrecipitationPredictability	0.784538547
SCCS130	SCCS1263	4	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Eyak	eyak1241	60.5	-145	High	high	Subarctic America	PrecipitationPredictability	0.667805767
SCCS131	SCCS1263	3	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Haida	nort2938	54	-132.5	Moderate	moderate	Western Canada	PrecipitationPredictability	0.709648746
SCCS132	SCCS1263	NA	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Nuxalk	bell1243	52.33	-126.5	Missing data	NA	Western Canada	PrecipitationPredictability	0.674157665
SCCS133	SCCS1263	3	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Twana	twan1247	47.43	-123.25	Moderate	moderate	Northwestern U.S.A.	PrecipitationPredictability	0.649379636
SCCS134	SCCS1263	1	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Yurok	yuro1248	41.5	-124	Very Low	Very Low	Southwestern U.S.A.	PrecipitationPredictability	0.587750387
SCCS135	SCCS1263	5	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Eastern Pomo	east2545	39	-123	Very High	Very High	Southwestern U.S.A.	PrecipitationPredictability	0.488241822
SCCS136	SCCS1263	1	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Southern Valley Yokuts	vall1251	35	-119.5	Very Low	Very Low	Southwestern U.S.A.	PrecipitationPredictability	0.419393038
SCCS137	SCCS1263	5	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Wadadokado	nort1551	43.5	-119	Very High	Very High	Northwestern U.S.A.	PrecipitationPredictability	0.611246464
SCCS138	SCCS1263	3	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Klamath	klam1254	42.63	-121.67	Moderate	moderate	Northwestern U.S.A.	PrecipitationPredictability	0.582081243
SCCS139	SCCS1263	1	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Kutenai	kute1249	49	-116.67	Very Low	Very Low	Western Canada	PrecipitationPredictability	0.626850806
SCCS14	SCCS1263	NA	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Nkundo	nkun1238	-0.75	19.17	Missing data	NA	West-Central Tropical Africa	PrecipitationPredictability	0.7877248
SCCS140	SCCS1263	1	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Gros Ventre	gros1243	48	-108	Very Low	Very Low	Northwestern U.S.A.	PrecipitationPredictability	0.658103503
SCCS141	SCCS1263	5	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Hidatsa	hida1246	47	-101	Very High	Very High	North-Central U.S.A.	PrecipitationPredictability	0.633481258
SCCS142	SCCS1263	3	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Pawnee	pawn1254	42	-100	Moderate	moderate	North-Central U.S.A.	PrecipitationPredictability	0.613605807
SCCS143	SCCS1263	NA	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Omaha	omah1248	41.43	-96.5	Missing data	NA	North-Central U.S.A.	PrecipitationPredictability	0.616569554
SCCS144	SCCS1263	3	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Huron	wyan1247	44.5	-79	Moderate	moderate	Eastern Canada	PrecipitationPredictability	0.706719488
SCCS145	SCCS1263	NA	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Muscogee	cree1270	32.93	-86	Missing data	NA	Southeastern U.S.A.	PrecipitationPredictability	0.652124125
SCCS146	SCCS1263	NA	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Natchez	natc1249	31.5	-91.42	Missing data	NA	Southeastern U.S.A.	PrecipitationPredictability	0.633149399
SCCS147	SCCS1263	3	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Comanche	coma1245	34	-101.5	Moderate	moderate	South-Central U.S.A.	PrecipitationPredictability	0.575382605
SCCS148	SCCS1263	3	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Chiricahua	mesc1238	32	-109.5	Moderate	moderate	Southwestern U.S.A.	PrecipitationPredictability	0.51981461
SCCS149	SCCS1263	3	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Zuni	zuni1245	35.67	-108.75	Moderate	moderate	South-Central U.S.A.	PrecipitationPredictability	0.5558235
SCCS15	SCCS1263	1	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Banen	tune1261	4.67	10.8	Very Low	Very Low	West-Central Tropical Africa	PrecipitationPredictability	0.745351666
SCCS150	SCCS1263	3	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Havasupai	hava1249	35.83	-112.17	Moderate	moderate	Southwestern U.S.A.	PrecipitationPredictability	0.44606464
SCCS151	SCCS1263	5	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Tohono O'odham	toho1246	32	-112	Very High	Very High	Southwestern U.S.A.	PrecipitationPredictability	0.403531842
SCCS152	SCCS1263	3	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Huichol	huic1243	22	-105	Moderate	moderate	Mexico	PrecipitationPredictability	0.589552149
SCCS153	SCCS1263	5	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Aztec	clas1250	19	-99.17	Very High	Very High	Mexico	PrecipitationPredictability	0.658068088
SCCS154	SCCS1263	1	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Sierra Popoluca	high1276	18.25	-94.83	Very Low	Very Low	Mexico	PrecipitationPredictability	0.747256961
SCCS155	SCCS1263	1	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	K'iche'	kich1262	15	-91	Very Low	Very Low	Central America	PrecipitationPredictability	0.676147291
SCCS156	SCCS1263	4	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Miskito	misk1235	15.16	-84.29	High	high	Central America	PrecipitationPredictability	0.715106202
SCCS157	SCCS1263	4	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Bribri	brib1243	9	-83.25	High	high	Central America	PrecipitationPredictability	0.737767558
SCCS158	SCCS1263	NA	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Guna	sanb1242	9.25	-78.5	Missing data	NA	Central America	PrecipitationPredictability	0.754203495
SCCS159	SCCS1263	5	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Wayuu	wayu1243	11.92	-71.75	Very High	Very High	Western South America	PrecipitationPredictability	0.695438965
SCCS16	SCCS1263	5	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Tiv	tivv1240	7.25	9	Very High	Very High	West Tropical Africa	PrecipitationPredictability	0.650224499
SCCS160	SCCS1263	5	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Haitians	hait1244	18.83	-72.17	Very High	Very High	Caribbean	PrecipitationPredictability	0.654885925
SCCS161	SCCS1263	NA	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Callinago	isla1278	15.41	-61.27	Missing data	NA	Caribbean	PrecipitationPredictability	0.637897047
SCCS162	SCCS1263	1	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Warao	wara1303	9.08	-62	Very Low	Very Low	Northern South America	PrecipitationPredictability	0.776031139
SCCS163	SCCS1263	1	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Yanomami	yano1261	2.42	-65	Very Low	Very Low	Northern South America	PrecipitationPredictability	0.692074174
SCCS164	SCCS1263	3	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Barama River Carib	mura1272	7.42	-60.17	Moderate	moderate	Northern South America	PrecipitationPredictability	0.797256885
SCCS165	SCCS1263	3	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Saramaccan	sara1340	3.5	-55.75	Moderate	moderate	Northern South America	PrecipitationPredictability	0.726687272
SCCS166	SCCS1263	1	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Munduruku	mund1330	-6.5	-56.5	Very Low	Very Low	Brazil	PrecipitationPredictability	0.731623317
SCCS167	SCCS1263	4	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Cubeo	cube1242	1.25	-70.5	High	high	Western South America	PrecipitationPredictability	0.816894928
SCCS168	SCCS1263	1	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Chachi	chac1249	1	-79	Very Low	Very Low	Western South America	PrecipitationPredictability	0.730143807
SCCS169	SCCS1263	1	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Shuar	shua1257	-3	-78	Very Low	Very Low	Western South America	PrecipitationPredictability	0.713244058
SCCS17	SCCS1263	4	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Igbo	nucl1417	5.5	7.33	High	high	West Tropical Africa	PrecipitationPredictability	0.705665753
SCCS170	SCCS1263	1	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Amahuaca	amah1246	-10.33	-72.25	Very Low	Very Low	Western South America	PrecipitationPredictability	0.726753273
SCCS171	SCCS1263	5	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Inca	cusc1236	-13.5	-72	Very High	Very High	Western South America	PrecipitationPredictability	0.820655606
SCCS172	SCCS1263	5	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Aymara	cent2142	-16	-65.75	Very High	Very High	Western South America	PrecipitationPredictability	0.658866592
SCCS173	SCCS1263	4	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Sirionó	siri1273	-14.5	-63.5	High	high	Western South America	PrecipitationPredictability	0.627940061
SCCS174	SCCS1263	4	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Nambikwara	sout2994	-13	-58.75	High	high	Brazil	PrecipitationPredictability	0.622984362
SCCS175	SCCS1263	1	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Trumai	trum1247	-11.83	-53.67	Very Low	Very Low	Brazil	PrecipitationPredictability	0.616533436
SCCS176	SCCS1263	NA	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Canela	cane1242	-6.5	-46	Missing data	NA	Brazil	PrecipitationPredictability	0.642582099
SCCS177	SCCS1263	3	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Tupinambá	tupi1273	-22.79	-44.5	Moderate	moderate	Brazil	PrecipitationPredictability	0.650196306
SCCS178	SCCS1263	NA	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Aimoré	kren1239	-19	-42.5	Missing data	NA	Brazil	PrecipitationPredictability	0.63552174
SCCS179	SCCS1263	1	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Shavante	xava1240	-13.5	-51.5	Very Low	Very Low	Brazil	PrecipitationPredictability	0.585009656
SCCS18	SCCS1263	3	Subsistence, Health	Occurrence of Seasonal Starvation	Dirks, R. (1993). Starvation and famine: cross-cultural codes and some hypothesis tests. Cross-Cultural Research, 27(1-2), 28-69.	Fon	fonn1241	7.2	1.91	Moderate	moderate	West Tropical Africa	PrecipitationPredictability	0.672336889
